_source_file,_room,_board_number,ns_dd_S,ew_dd_S,ns_dd_H,ew_dd_H,ns_dd_D,ew_dd_D,ns_dd_C,ew_dd_C,ns_dd_N,ew_dd_N,dd_par_level,dd_par_denom,dd_par_declarer_is_ns,dd_par_score
85168.lin,open,13,3,10,3,10,6,7,3,10,4,9,4,0,0,-620
85168.lin,closed,13,3,10,3,10,6,7,3,10,4,9,4,0,0,-620
85168.lin,open,14,10,3,5,8,7,5,2,11,8,4,5,0,1,-100
85168.lin,closed,14,10,3,5,8,7,5,2,11,8,4,5,0,1,-100
85168.lin,open,15,6,7,4,9,4,9,6,7,4,8,1,1,0,-140
85168.lin,closed,15,6,7,4,9,4,9,6,7,4,8,1,1,0,-140
85168.lin,open,16,6,6,4,8,2,11,5,8,2,10,3,4,0,-630
85168.lin,closed,16,6,6,4,8,2,11,5,8,2,10,3,4,0,-630
85168.lin,open,17,5,8,6,6,4,8,2,11,3,10,3,4,0,-430
85168.lin,closed,17,5,8,6,6,4,8,2,11,3,10,3,4,0,-430
85168.lin,open,18,13,0,12,1,9,3,9,4,10,2,7,0,1,2210
85168.lin,closed,18,13,0,12,1,9,3,9,4,10,2,7,0,1,2210
85168.lin,open,19,1,12,6,7,5,8,1,12,1,12,6,4,0,-1440
85168.lin,closed,19,1,12,6,7,5,8,1,12,1,12,6,4,0,-1440
85168.lin,open,20,6,7,10,3,5,8,10,3,6,3,4,1,1,620
85168.lin,closed,20,6,7,10,3,5,8,10,3,6,3,4,1,1,620
85168.lin,open,21,5,8,9,4,5,8,11,2,8,3,5,0,0,500
85168.lin,closed,21,5,8,9,4,5,8,11,2,8,3,5,0,0,500
85168.lin,open,22,6,7,8,5,9,4,5,7,9,4,3,4,1,400
85168.lin,closed,22,6,7,8,5,9,4,5,7,9,4,3,4,1,400
85168.lin,open,23,3,8,8,4,5,8,3,8,3,6,2,0,0,-140
85168.lin,closed,23,3,8,8,4,5,8,3,8,3,6,2,0,0,-140
85168.lin,open,24,7,6,5,8,9,4,9,3,8,3,3,1,0,100
85168.lin,closed,24,7,6,5,8,9,4,9,3,8,3,3,1,0,100
85169.lin,open,17,1,12,4,9,4,8,1,12,1,12,6,4,0,-990
85169.lin,open,18,7,6,9,4,6,7,9,3,8,4,2,1,1,140
85169.lin,open,19,5,8,2,11,5,7,6,7,3,10,4,1,0,-650
85169.lin,open,20,11,1,8,5,5,8,8,5,11,2,4,4,1,660
85169.lin,open,21,11,1,10,2,9,4,10,2,11,2,3,4,1,660
85169.lin,closed,21,11,1,10,2,9,4,10,2,11,2,3,4,1,660
85169.lin,open,22,4,6,7,6,7,5,2,10,5,8,3,3,0,-130
85169.lin,closed,22,4,6,7,6,7,5,2,10,5,8,3,3,0,-130
85169.lin,open,23,5,8,9,4,6,7,5,8,8,4,3,1,1,140
