feature,group,shap_lgbm,shap_xgb,rank_lgbm,rank_xgb
auction_ew_bids,Auction,0.3923236368686197,0.29000664,1,3
auction_len,Auction,0.38303380687473076,0.49580172,2,1
auction_ns_bids,Auction,0.3796862988207214,0.28957623,3,4
dd_par_level,DDS,0.3276662758426625,0.47480756,4,2
opening_level,Auction,0.20984779883443927,0.20774257,5,6
auction_competitive,Auction,0.17508537634155735,0.14301,6,7
ns_hcp,Partnership,0.15458357634053516,0.23340853,7,5
ns_best_fit,Partnership,0.1372829692669951,0.11567825,8,8
ew_best_fit,Partnership,0.09966617056421266,0.088513546,9,13
ns_ltc,Partnership,0.09722132343158696,0.09681697,10,10
ns_fit_S,Partnership,0.09431008102038564,0.094183475,11,11
opening_strain_C,Auction,0.09180652915230134,0.09885288,12,9
ew_ltc,Partnership,0.08781101404233228,0.08707792,13,14
ns_fit_H,Partnership,0.07986263157668474,0.09285144,14,12
opening_strain_N,Auction,0.07073477228630608,0.038635336,15,30
ew_dd_H,DDS,0.061886553896899045,0.058684874,16,15
ew_hcp,Partnership,0.05731740725265753,0.04836003,17,19
ew_dd_S,DDS,0.0552955287244201,0.050743848,18,17
auction_has_double,Auction,0.052275818106282484,0.03469448,19,34
ns_dd_H,DDS,0.04981044414821524,0.045093406,20,23
opening_strain_S,Auction,0.04940915621385648,0.031889725,21,38
ns_dd_S,DDS,0.04724569396447048,0.04515569,22,22
dd_par_score,DDS,0.04280229617198088,0.03263415,23,37
opening_strain_D,Auction,0.041608458822782336,0.05119771,24,16
ns_dd_N,DDS,0.04113343378362514,0.037002258,25,33
ns_fit_D,Partnership,0.037531712914164024,0.04920298,26,18
ns_dd_C,DDS,0.03736684280106268,0.041367948,27,26
ns_dd_D,DDS,0.03705186704273073,0.041015558,28,27
ew_dd_D,DDS,0.036996554356014955,0.040561825,29,29
ns_fit_C,Partnership,0.03661157453320888,0.04828059,30,20
ew_dd_C,DDS,0.03640762481020827,0.04219553,31,25
dd_par_denom_S,DDS,0.035866275991523394,0.029263973,32,44
auction_doubled,Auction,0.035588760923653893,0.04291917,33,24
N_hcp,Per-seat,0.035333283165468965,0.038474757,34,31
opening_strain_H,Auction,0.034880557101150664,0.019011175,35,90
S_hcp,Per-seat,0.033900072461358115,0.030408207,36,41
W_hcp,Per-seat,0.03376939347686546,0.033556487,37,35
E_longest_suit_len,Per-seat,0.03272097320789206,0.029561771,38,42
S_longest_suit_len,Per-seat,0.0323842777437994,0.029555047,39,43
ew_dd_N,DDS,0.03238427139379198,0.029263044,40,45
ew_fit_S,Partnership,0.032208710530910456,0.017370632,41,95
W_hcp_S,Per-seat,0.03183160518532626,0.02342084,42,59
E_len_S,Per-seat,0.031789997066345284,0.026490951,43,50
dd_par_denom_N,DDS,0.03178030140272275,0.04608681,44,21
N_len_S,Per-seat,0.03132712669157409,0.030545322,45,40
N_longest_suit_len,Per-seat,0.031061814822579605,0.040904246,46,28
E_hcp,Per-seat,0.030494084327418066,0.028068153,47,46
ew_fit_H,Partnership,0.029783798129616526,0.015526711,48,98
N_hcp_C,Per-seat,0.029676913855659893,0.021877527,49,75
S_hcp_H,Per-seat,0.02904185197343436,0.027071247,50,47
S_hcp_S,Per-seat,0.02888920073515306,0.023567634,51,58
S_len_S,Per-seat,0.028719162159825475,0.024483083,52,56
ns_controls,Partnership,0.028675039293199783,0.037393942,53,32
S_hcp_C,Per-seat,0.028594352323966624,0.023273524,54,60
N_ltc,Per-seat,0.028538837410323457,0.03111301,55,39
